,Hotel Name,Hotel Price,Hotel Bedrooms,Hotel Summery,Hotel Update Date
294, Traditional Village House in pretty Laroque-des-AlberesLanguedoc-Roussillon, From £518 /Week," House, Bedroom(s): 3, Sleeps: 6"," A traditional stone-faced village house, typical of the area and in the heart of the friendly village of Laroque des Alberes, within easy reach of Perpignan, the Mediterranean beaches and Spain.", ID#: 1255 |  Last update: 02-Nov-2021
295," Sea views, 25m to the beach, perfect for families & couplesBrittany", From £550 /Week," Gite, Bedroom(s): 2, Sleeps: 5"," Balcony with seaviews, 25m from an unspoiled beach, local towns steeped in rich history and plenty of holiday adventures to be had. Close to surfing, birdwatching, cycle routes, golf and more.", ID#: 1321 |  Last update: 07-May-2022
296," Chez  Bear - ideal for family fun, relaxation and exciting days out.Lower-Normandy", From £847 /Week," Gite, Bedroom(s): 4, Sleeps: 8"," Chez Bear is a character village property in Normandy, ideal for fun family times with spacious indoor and outdoor accommodation close to beautiful beaches & interesting places to visit", ID#: 1267 |  Last update: 14-Apr-2022
297, A charming 4 bed house with lovely garden in peaceful countryside.Brittany, From £609 /Week," House, Bedroom(s): 4, Sleeps: 9"," In a quiet rural setting in the commune of GUILLAC. A partly converted pig barn,it sleeps up to 9. Near to medieval JOSSELIN and busy PLOERMEL with large supermarkets, shops, cafes and restaurants.", ID#: 1288 |  Last update: 22-Jun-2022
298," The Cave, traditional cottage in village centerBrittany", From £375 /Week," Gite, Bedroom(s): 2, Sleeps: 4"," In a quiet residential village center, traditional cottage with lovely commun garden (3 gites) and private outside sitting dining areas to enjoy barbecues during the summer evenings.", ID#: 1275 |  Last update: 10-Jun-2022
299," The Atelier, traditional cottage in village centerBrittany", From £400 /Week," Gite, Bedroom(s): 3, Sleeps: 5"," In a quiet residential village center, traditional cottage with lovely commun garden (3 gites) and private outside sitting dining areas to enjoy barbecues during the summer evenings.", ID#: 1273 |  Last update: 09-Jan-2022
300, Maison Bear- village house ideal for family fun and relaxation," From £1,276 /Week"," House, Bedroom(s): 6, Sleeps: 12"," Chez Bear, a striking Maison de Maitre in a Normandy village, ideal for fun family times with spacious indoor space and an enclosed garden. Close to beautiful beaches & interesting places to visit.", ID#: 1286 |  Last update: 14-Apr-2022
301, A beautiful character Aveyron gite with private heated swimming poolMidi-Pyrenees, From £475 /Week," Gite, Bedroom(s): 2, Sleeps: 4"," Situated off the beaten track in a small hamlet yet only 5kms from the village of Rignac, La Fage is surrounded by beautiful open countryside thus being the perfect place to unwind, relax and explore.", ID#: 1293 |  Last update: 03-Apr-2022
302," Chez Goret Gites Gite Magic - luxurious, exclusive adult accommodationPoitou-Charentes", From £560 /Week," Gite, Bedroom(s): 1, Sleeps: 2", Gite Magic is a one bed luxury gite set in large secluded gardens which comes with use of a 10m x 4m pool with beautiful views over the surrounding valley providing an oasis of calm., ID#: 1322 |  Last update: 21-Jun-2022
303, Traditional Village House in pretty Laroque-des-AlberesLanguedoc-Roussillon, From £518 /Week," House, Bedroom(s): 3, Sleeps: 6"," A traditional stone-faced village house, typical of the area and in the heart of the friendly village of Laroque des Alberes, within easy reach of Perpignan, the Mediterranean beaches and Spain.", ID#: 1255 |  Last update: 02-Nov-2021
304," Sea views, 25m to the beach, perfect for families & couplesBrittany", From £550 /Week," Gite, Bedroom(s): 2, Sleeps: 5"," Balcony with seaviews, 25m from an unspoiled beach, local towns steeped in rich history and plenty of holiday adventures to be had. Close to surfing, birdwatching, cycle routes, golf and more.", ID#: 1321 |  Last update: 07-May-2022
305," Chez  Bear - ideal for family fun, relaxation and exciting days out.Lower-Normandy", From £847 /Week," Gite, Bedroom(s): 4, Sleeps: 8"," Chez Bear is a character village property in Normandy, ideal for fun family times with spacious indoor and outdoor accommodation close to beautiful beaches & interesting places to visit", ID#: 1267 |  Last update: 14-Apr-2022
306, A charming 4 bed house with lovely garden in peaceful countryside.Brittany, From £609 /Week," House, Bedroom(s): 4, Sleeps: 9"," In a quiet rural setting in the commune of GUILLAC. A partly converted pig barn,it sleeps up to 9. Near to medieval JOSSELIN and busy PLOERMEL with large supermarkets, shops, cafes and restaurants.", ID#: 1288 |  Last update: 22-Jun-2022
307," The Cave, traditional cottage in village centerBrittany", From £375 /Week," Gite, Bedroom(s): 2, Sleeps: 4"," In a quiet residential village center, traditional cottage with lovely commun garden (3 gites) and private outside sitting dining areas to enjoy barbecues during the summer evenings.", ID#: 1275 |  Last update: 10-Jun-2022
308," The Atelier, traditional cottage in village centerBrittany", From £400 /Week," Gite, Bedroom(s): 3, Sleeps: 5"," In a quiet residential village center, traditional cottage with lovely commun garden (3 gites) and private outside sitting dining areas to enjoy barbecues during the summer evenings.", ID#: 1273 |  Last update: 09-Jan-2022
309, Semi trolodyte house along the river CéléMidi-Pyrenees, From £600 /Week," House, Bedroom(s): 4, Sleeps: 6"," La Goutte, a unique accommodation clinging to the cliffs along the river Célé. Recently restored, using materials such as limestone & oak beams, the cliff walls are integrated into the buildings.", ID#: 1282 |  Last update: 14-Jun-2022
310, A beautiful character Aveyron gite with private heated swimming poolMidi-Pyrenees, From £475 /Week," Gite, Bedroom(s): 2, Sleeps: 4"," Situated off the beaten track in a small hamlet yet only 5kms from the village of Rignac, La Fage is surrounded by beautiful open countryside thus being the perfect place to unwind, relax and explore.", ID#: 1293 |  Last update: 03-Apr-2022
311," Chez Goret Gites Gite Magic - luxurious, exclusive adult accommodationPoitou-Charentes", From £560 /Week," Gite, Bedroom(s): 1, Sleeps: 2", Gite Magic is a one bed luxury gite set in large secluded gardens which comes with use of a 10m x 4m pool with beautiful views over the surrounding valley providing an oasis of calm., ID#: 1322 |  Last update: 21-Jun-2022
312, Traditional Village House in pretty Laroque-des-AlberesLanguedoc-Roussillon, From £518 /Week," House, Bedroom(s): 3, Sleeps: 6"," A traditional stone-faced village house, typical of the area and in the heart of the friendly village of Laroque des Alberes, within easy reach of Perpignan, the Mediterranean beaches and Spain.", ID#: 1255 |  Last update: 02-Nov-2021
313," Sea views, 25m to the beach, perfect for families & couplesBrittany", From £550 /Week," Gite, Bedroom(s): 2, Sleeps: 5"," Balcony with seaviews, 25m from an unspoiled beach, local towns steeped in rich history and plenty of holiday adventures to be had. Close to surfing, birdwatching, cycle routes, golf and more.", ID#: 1321 |  Last update: 07-May-2022
314," Chez  Bear - ideal for family fun, relaxation and exciting days out.Lower-Normandy", From £847 /Week," Gite, Bedroom(s): 4, Sleeps: 8"," Chez Bear is a character village property in Normandy, ideal for fun family times with spacious indoor and outdoor accommodation close to beautiful beaches & interesting places to visit", ID#: 1267 |  Last update: 14-Apr-2022
315, A charming 4 bed house with lovely garden in peaceful countryside.Brittany, From £609 /Week," House, Bedroom(s): 4, Sleeps: 9"," In a quiet rural setting in the commune of GUILLAC. A partly converted pig barn,it sleeps up to 9. Near to medieval JOSSELIN and busy PLOERMEL with large supermarkets, shops, cafes and restaurants.", ID#: 1288 |  Last update: 22-Jun-2022
316," The Cave, traditional cottage in village centerBrittany", From £375 /Week," Gite, Bedroom(s): 2, Sleeps: 4"," In a quiet residential village center, traditional cottage with lovely commun garden (3 gites) and private outside sitting dining areas to enjoy barbecues during the summer evenings.", ID#: 1275 |  Last update: 10-Jun-2022
317," The Atelier, traditional cottage in village centerBrittany", From £400 /Week," Gite, Bedroom(s): 3, Sleeps: 5"," In a quiet residential village center, traditional cottage with lovely commun garden (3 gites) and private outside sitting dining areas to enjoy barbecues during the summer evenings.", ID#: 1273 |  Last update: 09-Jan-2022
318, Semi trolodyte house along the river CéléMidi-Pyrenees, From £600 /Week," House, Bedroom(s): 4, Sleeps: 6"," La Goutte, a unique accommodation clinging to the cliffs along the river Célé. Recently restored, using materials such as limestone & oak beams, the cliff walls are integrated into the buildings.", ID#: 1282 |  Last update: 14-Jun-2022
319, Tranquility CottagePoitou-Charentes, From £395 /Week," Gite, Bedroom(s): 1, Sleeps: 3"," An adult only property with private heated pool in a great location with countryside views yet within walking distance of shops, bar etc.
Everything you will need for a stress free holiday!", ID#: 1296 |  Last update: 23-Jun-2022
320," Chez Goret Gites Gite Magic - luxurious, exclusive adult accommodationPoitou-Charentes", From £560 /Week," Gite, Bedroom(s): 1, Sleeps: 2", Gite Magic is a one bed luxury gite set in large secluded gardens which comes with use of a 10m x 4m pool with beautiful views over the surrounding valley providing an oasis of calm., ID#: 1322 |  Last update: 21-Jun-2022
321, Traditional Village House in pretty Laroque-des-AlberesLanguedoc-Roussillon, From £518 /Week," House, Bedroom(s): 3, Sleeps: 6"," A traditional stone-faced village house, typical of the area and in the heart of the friendly village of Laroque des Alberes, within easy reach of Perpignan, the Mediterranean beaches and Spain.", ID#: 1255 |  Last update: 02-Nov-2021
322," Sea views, 25m to the beach, perfect for families & couplesBrittany", From £550 /Week," Gite, Bedroom(s): 2, Sleeps: 5"," Balcony with seaviews, 25m from an unspoiled beach, local towns steeped in rich history and plenty of holiday adventures to be had. Close to surfing, birdwatching, cycle routes, golf and more.", ID#: 1321 |  Last update: 07-May-2022
323," Chez  Bear - ideal for family fun, relaxation and exciting days out.Lower-Normandy", From £847 /Week," Gite, Bedroom(s): 4, Sleeps: 8"," Chez Bear is a character village property in Normandy, ideal for fun family times with spacious indoor and outdoor accommodation close to beautiful beaches & interesting places to visit", ID#: 1267 |  Last update: 14-Apr-2022
324, A charming 4 bed house with lovely garden in peaceful countryside.Brittany, From £609 /Week," House, Bedroom(s): 4, Sleeps: 9"," In a quiet rural setting in the commune of GUILLAC. A partly converted pig barn,it sleeps up to 9. Near to medieval JOSSELIN and busy PLOERMEL with large supermarkets, shops, cafes and restaurants.", ID#: 1288 |  Last update: 22-Jun-2022
325," The Cave, traditional cottage in village centerBrittany", From £375 /Week," Gite, Bedroom(s): 2, Sleeps: 4"," In a quiet residential village center, traditional cottage with lovely commun garden (3 gites) and private outside sitting dining areas to enjoy barbecues during the summer evenings.", ID#: 1275 |  Last update: 10-Jun-2022
326," The Atelier, traditional cottage in village centerBrittany", From £400 /Week," Gite, Bedroom(s): 3, Sleeps: 5"," In a quiet residential village center, traditional cottage with lovely commun garden (3 gites) and private outside sitting dining areas to enjoy barbecues during the summer evenings.", ID#: 1273 |  Last update: 09-Jan-2022
327, Semi trolodyte house along the river CéléMidi-Pyrenees, From £600 /Week," House, Bedroom(s): 4, Sleeps: 6"," La Goutte, a unique accommodation clinging to the cliffs along the river Célé. Recently restored, using materials such as limestone & oak beams, the cliff walls are integrated into the buildings.", ID#: 1282 |  Last update: 14-Jun-2022
328, Tranquility CottagePoitou-Charentes, From £395 /Week," Gite, Bedroom(s): 1, Sleeps: 3"," An adult only property with private heated pool in a great location with countryside views yet within walking distance of shops, bar etc.
Everything you will need for a stress free holiday!", ID#: 1296 |  Last update: 23-Jun-2022
329, Les Carrieres Gite and Fishing HolidaysAquitaine, From £690 /Week," Cottage, Bedroom(s): 3, Sleeps: 6"," Barn Owl Cottage is a beautiful 3 bedroom property in the Dordogne area of France, situated near to the Charante and Limousin borders. Private stocked fishing lake, heated swimming pool, games room.", ID#: 1295 |  Last update: 23-Jun-2022
330, Traditional Village House in pretty Laroque-des-AlberesLanguedoc-Roussillon, From £518 /Week," House, Bedroom(s): 3, Sleeps: 6"," A traditional stone-faced village house, typical of the area and in the heart of the friendly village of Laroque des Alberes, within easy reach of Perpignan, the Mediterranean beaches and Spain.", ID#: 1255 |  Last update: 02-Nov-2021
331," Sea views, 25m to the beach, perfect for families & couplesBrittany", From £550 /Week," Gite, Bedroom(s): 2, Sleeps: 5"," Balcony with seaviews, 25m from an unspoiled beach, local towns steeped in rich history and plenty of holiday adventures to be had. Close to surfing, birdwatching, cycle routes, golf and more.", ID#: 1321 |  Last update: 07-May-2022
332," Chez  Bear - ideal for family fun, relaxation and exciting days out.Lower-Normandy", From £847 /Week," Gite, Bedroom(s): 4, Sleeps: 8"," Chez Bear is a character village property in Normandy, ideal for fun family times with spacious indoor and outdoor accommodation close to beautiful beaches & interesting places to visit", ID#: 1267 |  Last update: 14-Apr-2022
333, A charming 4 bed house with lovely garden in peaceful countryside.Brittany, From £609 /Week," House, Bedroom(s): 4, Sleeps: 9"," In a quiet rural setting in the commune of GUILLAC. A partly converted pig barn,it sleeps up to 9. Near to medieval JOSSELIN and busy PLOERMEL with large supermarkets, shops, cafes and restaurants.", ID#: 1288 |  Last update: 22-Jun-2022
334," The Cave, traditional cottage in village centerBrittany", From £375 /Week," Gite, Bedroom(s): 2, Sleeps: 4"," In a quiet residential village center, traditional cottage with lovely commun garden (3 gites) and private outside sitting dining areas to enjoy barbecues during the summer evenings.", ID#: 1275 |  Last update: 10-Jun-2022
335," The Atelier, traditional cottage in village centerBrittany", From £400 /Week," Gite, Bedroom(s): 3, Sleeps: 5"," In a quiet residential village center, traditional cottage with lovely commun garden (3 gites) and private outside sitting dining areas to enjoy barbecues during the summer evenings.", ID#: 1273 |  Last update: 09-Jan-2022
336, Semi trolodyte house along the river CéléMidi-Pyrenees, From £600 /Week," House, Bedroom(s): 4, Sleeps: 6"," La Goutte, a unique accommodation clinging to the cliffs along the river Célé. Recently restored, using materials such as limestone & oak beams, the cliff walls are integrated into the buildings.", ID#: 1282 |  Last update: 14-Jun-2022
337, Tranquility CottagePoitou-Charentes, From £395 /Week," Gite, Bedroom(s): 1, Sleeps: 3"," An adult only property with private heated pool in a great location with countryside views yet within walking distance of shops, bar etc.
Everything you will need for a stress free holiday!", ID#: 1296 |  Last update: 23-Jun-2022
338, Les Carrieres Gite and Fishing HolidaysAquitaine, From £690 /Week," Cottage, Bedroom(s): 3, Sleeps: 6"," Barn Owl Cottage is a beautiful 3 bedroom property in the Dordogne area of France, situated near to the Charante and Limousin borders. Private stocked fishing lake, heated swimming pool, games room.", ID#: 1295 |  Last update: 23-Jun-2022
339, ThouveninPoitou-Charentes, From £495 /Week," House, Bedroom(s): 4, Sleeps: 8"," Gorgeous historic house with beautiful grounds & pool and its own private café/bar. Situated in a quiet, picturesque village, with baker and other shops, surrounded by vineyards and sunflower fields.", ID#: 1300 |  Last update: 11-Apr-2022
340," Sea views, 25m to the beach, perfect for families & couplesBrittany", From £550 /Week," Gite, Bedroom(s): 2, Sleeps: 5"," Balcony with seaviews, 25m from an unspoiled beach, local towns steeped in rich history and plenty of holiday adventures to be had. Close to surfing, birdwatching, cycle routes, golf and more.", ID#: 1321 |  Last update: 07-May-2022
341," Chez  Bear - ideal for family fun, relaxation and exciting days out.Lower-Normandy", From £847 /Week," Gite, Bedroom(s): 4, Sleeps: 8"," Chez Bear is a character village property in Normandy, ideal for fun family times with spacious indoor and outdoor accommodation close to beautiful beaches & interesting places to visit", ID#: 1267 |  Last update: 14-Apr-2022
342, A charming 4 bed house with lovely garden in peaceful countryside.Brittany, From £609 /Week," House, Bedroom(s): 4, Sleeps: 9"," In a quiet rural setting in the commune of GUILLAC. A partly converted pig barn,it sleeps up to 9. Near to medieval JOSSELIN and busy PLOERMEL with large supermarkets, shops, cafes and restaurants.", ID#: 1288 |  Last update: 22-Jun-2022
343," The Cave, traditional cottage in village centerBrittany", From £375 /Week," Gite, Bedroom(s): 2, Sleeps: 4"," In a quiet residential village center, traditional cottage with lovely commun garden (3 gites) and private outside sitting dining areas to enjoy barbecues during the summer evenings.", ID#: 1275 |  Last update: 10-Jun-2022
344," The Atelier, traditional cottage in village centerBrittany", From £400 /Week," Gite, Bedroom(s): 3, Sleeps: 5"," In a quiet residential village center, traditional cottage with lovely commun garden (3 gites) and private outside sitting dining areas to enjoy barbecues during the summer evenings.", ID#: 1273 |  Last update: 09-Jan-2022
345, Semi trolodyte house along the river CéléMidi-Pyrenees, From £600 /Week," House, Bedroom(s): 4, Sleeps: 6"," La Goutte, a unique accommodation clinging to the cliffs along the river Célé. Recently restored, using materials such as limestone & oak beams, the cliff walls are integrated into the buildings.", ID#: 1282 |  Last update: 14-Jun-2022
346, Tranquility CottagePoitou-Charentes, From £395 /Week," Gite, Bedroom(s): 1, Sleeps: 3"," An adult only property with private heated pool in a great location with countryside views yet within walking distance of shops, bar etc.
Everything you will need for a stress free holiday!", ID#: 1296 |  Last update: 23-Jun-2022
347, Les Carrieres Gite and Fishing HolidaysAquitaine, From £690 /Week," Cottage, Bedroom(s): 3, Sleeps: 6"," Barn Owl Cottage is a beautiful 3 bedroom property in the Dordogne area of France, situated near to the Charante and Limousin borders. Private stocked fishing lake, heated swimming pool, games room.", ID#: 1295 |  Last update: 23-Jun-2022
348, ThouveninPoitou-Charentes, From £495 /Week," House, Bedroom(s): 4, Sleeps: 8"," Gorgeous historic house with beautiful grounds & pool and its own private café/bar. Situated in a quiet, picturesque village, with baker and other shops, surrounded by vineyards and sunflower fields.", ID#: 1300 |  Last update: 11-Apr-2022
349, Beautiful rural villa with private pool near CeretLanguedoc-Roussillon," From £1,722 /Week"," Villa, Bedroom(s): 3, Sleeps: 6", A magnificent villa set in the countryside near the village of Reynes and 5 minutes drive to lively Céret. The well-equipped property boasts a lovely private pool. 30 mins from the Med beaches., ID#: 1294 |  Last update: 19-Jan-2022
350," Chez  Bear - ideal for family fun, relaxation and exciting days out.Lower-Normandy", From £847 /Week," Gite, Bedroom(s): 4, Sleeps: 8"," Chez Bear is a character village property in Normandy, ideal for fun family times with spacious indoor and outdoor accommodation close to beautiful beaches & interesting places to visit", ID#: 1267 |  Last update: 14-Apr-2022
351, A charming 4 bed house with lovely garden in peaceful countryside.Brittany, From £609 /Week," House, Bedroom(s): 4, Sleeps: 9"," In a quiet rural setting in the commune of GUILLAC. A partly converted pig barn,it sleeps up to 9. Near to medieval JOSSELIN and busy PLOERMEL with large supermarkets, shops, cafes and restaurants.", ID#: 1288 |  Last update: 22-Jun-2022
352," The Cave, traditional cottage in village centerBrittany", From £375 /Week," Gite, Bedroom(s): 2, Sleeps: 4"," In a quiet residential village center, traditional cottage with lovely commun garden (3 gites) and private outside sitting dining areas to enjoy barbecues during the summer evenings.", ID#: 1275 |  Last update: 10-Jun-2022
353," The Atelier, traditional cottage in village centerBrittany", From £400 /Week," Gite, Bedroom(s): 3, Sleeps: 5"," In a quiet residential village center, traditional cottage with lovely commun garden (3 gites) and private outside sitting dining areas to enjoy barbecues during the summer evenings.", ID#: 1273 |  Last update: 09-Jan-2022
354, Semi trolodyte house along the river CéléMidi-Pyrenees, From £600 /Week," House, Bedroom(s): 4, Sleeps: 6"," La Goutte, a unique accommodation clinging to the cliffs along the river Célé. Recently restored, using materials such as limestone & oak beams, the cliff walls are integrated into the buildings.", ID#: 1282 |  Last update: 14-Jun-2022
355, Tranquility CottagePoitou-Charentes, From £395 /Week," Gite, Bedroom(s): 1, Sleeps: 3"," An adult only property with private heated pool in a great location with countryside views yet within walking distance of shops, bar etc.
Everything you will need for a stress free holiday!", ID#: 1296 |  Last update: 23-Jun-2022
356, Les Carrieres Gite and Fishing HolidaysAquitaine, From £690 /Week," Cottage, Bedroom(s): 3, Sleeps: 6"," Barn Owl Cottage is a beautiful 3 bedroom property in the Dordogne area of France, situated near to the Charante and Limousin borders. Private stocked fishing lake, heated swimming pool, games room.", ID#: 1295 |  Last update: 23-Jun-2022
357, ThouveninPoitou-Charentes, From £495 /Week," House, Bedroom(s): 4, Sleeps: 8"," Gorgeous historic house with beautiful grounds & pool and its own private café/bar. Situated in a quiet, picturesque village, with baker and other shops, surrounded by vineyards and sunflower fields.", ID#: 1300 |  Last update: 11-Apr-2022
358, Beautiful rural villa with private pool near CeretLanguedoc-Roussillon," From £1,722 /Week"," Villa, Bedroom(s): 3, Sleeps: 6", A magnificent villa set in the countryside near the village of Reynes and 5 minutes drive to lively Céret. The well-equipped property boasts a lovely private pool. 30 mins from the Med beaches., ID#: 1294 |  Last update: 19-Jan-2022
359, Beautiful Renovated Barn with private above ground swimming poolAquitaine, From £550 /Week," Barn, Bedroom(s): 2, Sleeps: 4"," Our self contained Barn at Chez Bourgogne is a charming 2 bedroom, 2 bathroom dwelling attached to the original farmhouse in beautiful SW France with magnificent panoramic views and private 3mx5m pool", ID#: 1301 |  Last update: 28-Apr-2022
360, A charming 4 bed house with lovely garden in peaceful countryside.Brittany, From £609 /Week," House, Bedroom(s): 4, Sleeps: 9"," In a quiet rural setting in the commune of GUILLAC. A partly converted pig barn,it sleeps up to 9. Near to medieval JOSSELIN and busy PLOERMEL with large supermarkets, shops, cafes and restaurants.", ID#: 1288 |  Last update: 22-Jun-2022
361," The Cave, traditional cottage in village centerBrittany", From £375 /Week," Gite, Bedroom(s): 2, Sleeps: 4"," In a quiet residential village center, traditional cottage with lovely commun garden (3 gites) and private outside sitting dining areas to enjoy barbecues during the summer evenings.", ID#: 1275 |  Last update: 10-Jun-2022
362," The Atelier, traditional cottage in village centerBrittany", From £400 /Week," Gite, Bedroom(s): 3, Sleeps: 5"," In a quiet residential village center, traditional cottage with lovely commun garden (3 gites) and private outside sitting dining areas to enjoy barbecues during the summer evenings.", ID#: 1273 |  Last update: 09-Jan-2022
363, Semi trolodyte house along the river CéléMidi-Pyrenees, From £600 /Week," House, Bedroom(s): 4, Sleeps: 6"," La Goutte, a unique accommodation clinging to the cliffs along the river Célé. Recently restored, using materials such as limestone & oak beams, the cliff walls are integrated into the buildings.", ID#: 1282 |  Last update: 14-Jun-2022
364, Tranquility CottagePoitou-Charentes, From £395 /Week," Gite, Bedroom(s): 1, Sleeps: 3"," An adult only property with private heated pool in a great location with countryside views yet within walking distance of shops, bar etc.
Everything you will need for a stress free holiday!", ID#: 1296 |  Last update: 23-Jun-2022
365, Les Carrieres Gite and Fishing HolidaysAquitaine, From £690 /Week," Cottage, Bedroom(s): 3, Sleeps: 6"," Barn Owl Cottage is a beautiful 3 bedroom property in the Dordogne area of France, situated near to the Charante and Limousin borders. Private stocked fishing lake, heated swimming pool, games room.", ID#: 1295 |  Last update: 23-Jun-2022
366, ThouveninPoitou-Charentes, From £495 /Week," House, Bedroom(s): 4, Sleeps: 8"," Gorgeous historic house with beautiful grounds & pool and its own private café/bar. Situated in a quiet, picturesque village, with baker and other shops, surrounded by vineyards and sunflower fields.", ID#: 1300 |  Last update: 11-Apr-2022
367, Beautiful rural villa with private pool near CeretLanguedoc-Roussillon," From £1,722 /Week"," Villa, Bedroom(s): 3, Sleeps: 6", A magnificent villa set in the countryside near the village of Reynes and 5 minutes drive to lively Céret. The well-equipped property boasts a lovely private pool. 30 mins from the Med beaches., ID#: 1294 |  Last update: 19-Jan-2022
368, Beautiful Renovated Barn with private above ground swimming poolAquitaine, From £550 /Week," Barn, Bedroom(s): 2, Sleeps: 4"," Our self contained Barn at Chez Bourgogne is a charming 2 bedroom, 2 bathroom dwelling attached to the original farmhouse in beautiful SW France with magnificent panoramic views and private 3mx5m pool", ID#: 1301 |  Last update: 28-Apr-2022
369, Traditional stone built property with heated poolMidi-Pyrenees," From £1,252 /Week"," Farmhouse, Bedroom(s): 5, Sleeps: 10"," ""Mas du Rocher"": a charming 19th century property built on bedrock along the river Lot.", ID#: 1297 |  Last update: 30-May-2022
370," The Cave, traditional cottage in village centerBrittany", From £375 /Week," Gite, Bedroom(s): 2, Sleeps: 4"," In a quiet residential village center, traditional cottage with lovely commun garden (3 gites) and private outside sitting dining areas to enjoy barbecues during the summer evenings.", ID#: 1275 |  Last update: 10-Jun-2022
371," The Atelier, traditional cottage in village centerBrittany", From £400 /Week," Gite, Bedroom(s): 3, Sleeps: 5"," In a quiet residential village center, traditional cottage with lovely commun garden (3 gites) and private outside sitting dining areas to enjoy barbecues during the summer evenings.", ID#: 1273 |  Last update: 09-Jan-2022
372, Semi trolodyte house along the river CéléMidi-Pyrenees, From £600 /Week," House, Bedroom(s): 4, Sleeps: 6"," La Goutte, a unique accommodation clinging to the cliffs along the river Célé. Recently restored, using materials such as limestone & oak beams, the cliff walls are integrated into the buildings.", ID#: 1282 |  Last update: 14-Jun-2022
373, Tranquility CottagePoitou-Charentes, From £395 /Week," Gite, Bedroom(s): 1, Sleeps: 3"," An adult only property with private heated pool in a great location with countryside views yet within walking distance of shops, bar etc.
Everything you will need for a stress free holiday!", ID#: 1296 |  Last update: 23-Jun-2022
374, Les Carrieres Gite and Fishing HolidaysAquitaine, From £690 /Week," Cottage, Bedroom(s): 3, Sleeps: 6"," Barn Owl Cottage is a beautiful 3 bedroom property in the Dordogne area of France, situated near to the Charante and Limousin borders. Private stocked fishing lake, heated swimming pool, games room.", ID#: 1295 |  Last update: 23-Jun-2022
375, ThouveninPoitou-Charentes, From £495 /Week," House, Bedroom(s): 4, Sleeps: 8"," Gorgeous historic house with beautiful grounds & pool and its own private café/bar. Situated in a quiet, picturesque village, with baker and other shops, surrounded by vineyards and sunflower fields.", ID#: 1300 |  Last update: 11-Apr-2022
376, Beautiful rural villa with private pool near CeretLanguedoc-Roussillon," From £1,722 /Week"," Villa, Bedroom(s): 3, Sleeps: 6", A magnificent villa set in the countryside near the village of Reynes and 5 minutes drive to lively Céret. The well-equipped property boasts a lovely private pool. 30 mins from the Med beaches., ID#: 1294 |  Last update: 19-Jan-2022
377, Beautiful Renovated Barn with private above ground swimming poolAquitaine, From £550 /Week," Barn, Bedroom(s): 2, Sleeps: 4"," Our self contained Barn at Chez Bourgogne is a charming 2 bedroom, 2 bathroom dwelling attached to the original farmhouse in beautiful SW France with magnificent panoramic views and private 3mx5m pool", ID#: 1301 |  Last update: 28-Apr-2022
378, Traditional stone built property with heated poolMidi-Pyrenees," From £1,252 /Week"," Farmhouse, Bedroom(s): 5, Sleeps: 10"," ""Mas du Rocher"": a charming 19th century property built on bedrock along the river Lot.", ID#: 1297 |  Last update: 30-May-2022
379, Luxury villa with private pool and private tennis courtMidi-Pyrenees," From £1,165 /Week"," Villa, Bedroom(s): 3, Sleeps: 8"," A style-built “maison en pierre” built in the 90-ties, carefully renovated and modernized in 2018. The villa is set in a rural environment on 8 acres of private grounds, without neighbours in sight", ID#: 1283 |  Last update: 22-Jan-2022
380," The Atelier, traditional cottage in village centerBrittany", From £400 /Week," Gite, Bedroom(s): 3, Sleeps: 5"," In a quiet residential village center, traditional cottage with lovely commun garden (3 gites) and private outside sitting dining areas to enjoy barbecues during the summer evenings.", ID#: 1273 |  Last update: 09-Jan-2022
381, Semi trolodyte house along the river CéléMidi-Pyrenees, From £600 /Week," House, Bedroom(s): 4, Sleeps: 6"," La Goutte, a unique accommodation clinging to the cliffs along the river Célé. Recently restored, using materials such as limestone & oak beams, the cliff walls are integrated into the buildings.", ID#: 1282 |  Last update: 14-Jun-2022
382, Tranquility CottagePoitou-Charentes, From £395 /Week," Gite, Bedroom(s): 1, Sleeps: 3"," An adult only property with private heated pool in a great location with countryside views yet within walking distance of shops, bar etc.
Everything you will need for a stress free holiday!", ID#: 1296 |  Last update: 23-Jun-2022
383, Les Carrieres Gite and Fishing HolidaysAquitaine, From £690 /Week," Cottage, Bedroom(s): 3, Sleeps: 6"," Barn Owl Cottage is a beautiful 3 bedroom property in the Dordogne area of France, situated near to the Charante and Limousin borders. Private stocked fishing lake, heated swimming pool, games room.", ID#: 1295 |  Last update: 23-Jun-2022
384, ThouveninPoitou-Charentes, From £495 /Week," House, Bedroom(s): 4, Sleeps: 8"," Gorgeous historic house with beautiful grounds & pool and its own private café/bar. Situated in a quiet, picturesque village, with baker and other shops, surrounded by vineyards and sunflower fields.", ID#: 1300 |  Last update: 11-Apr-2022
385, Beautiful rural villa with private pool near CeretLanguedoc-Roussillon," From £1,722 /Week"," Villa, Bedroom(s): 3, Sleeps: 6", A magnificent villa set in the countryside near the village of Reynes and 5 minutes drive to lively Céret. The well-equipped property boasts a lovely private pool. 30 mins from the Med beaches., ID#: 1294 |  Last update: 19-Jan-2022
